DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.6950000000000001,-93.84140255260944,-97.53876998437406,-96.25863000257266,0.8588236070839341,-94.22215391056969,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.7000000000000001,-93.66348408976522,-97.00420748424959,-96.36673243157824,0.8220612783532801,-94.16686731182652,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.705,-93.65627423268292,-97.3720406282016,-96.05985028888064,0.8606482194985466,-94.12583748625222,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.71,-93.9961645764592,-97.65950338164926,-96.4389077640228,0.8554311753526874,-94.10206119872129,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.715,-93.71610552591869,-97.30387481592405,-96.21678687584826,0.847813243310003,-94.097156753282,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.72,-93.74227199333212,-97.48217315452239,-96.12809267645694,0.8630314811035497,-94.11130335350717,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.725,-93.75783060608705,-97.18502058339014,-96.38777718972561,0.8312268786545477,-94.1432631038376,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.73,-93.80109854511808,-97.35645955759372,-96.32718014382692,0.8445100662690136,-94.19048131546482,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.735,-94.02043150801705,-97.1919963298171,-96.8752410053776,0.8036280253984361,-94.24926413202593,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.74,-93.93479726125925,-97.59583312588616,-96.379279952263,0.8552007449919172,-94.31503351947802,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.745,-94.05729273766119,-97.67973231574942,-96.53117157674728,0.8513227918383848,-94.38265660056581,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.75,-94.0559849004647,-97.8310832404881,-96.41621612863999,0.866486649764839,-94.44683837731384,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.755,-94.21113673993966,-97.92139471289005,-96.61878929639707,0.8601026588554638,-94.50255480606911,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.76,-94.237491956846,-97.59538153943099,-96.92597202565028,0.8238943829145297,-94.54548959045243,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.765,-94.07571463090008,-97.65768490854106,-96.58091621793378,0.8472237983036721,-94.57242724040626,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.77,-94.140160959681,-97.85175981253184,-96.54682037118816,0.8602355166232968,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.775,-94.17521104804888,-97.37416046249405,-97.00471612426051,0.806658679510272,-94.57260782441116,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.78,-94.3605844611801,-97.91622697196914,-96.88644397312471,0.8445388525082118,-94.54690079048888,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.785,-94.49516474067389,-98.15121514715473,-96.94341870148219,0.8547015364431458,-94.5071355796448,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.79,-94.32103436411204,-98.0655462163382,-96.7034824939492,0.8634854729973602,-94.4571218130151,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.795,-94.58155172976369,-98.21398323411317,-97.04777617384937,0.8523296438996592,-94.40138909891363,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.8,-94.39751324181137,-97.88951096043755,-96.97424864259146,0.8379876656251593,-94.34476442612565,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.805,-94.57250915418774,-97.88657026232175,-97.29891228910269,0.8192006973886956,-94.29195966251353,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.81,-94.80721545624236,-97.80843611854978,-97.82661372802066,0.7843517768464108,-94.24720596218114,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.8150000000000001,-94.72919215986244,-98.07340532360614,-97.4294294086888,0.8224344822098167,-94.21395788763533,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.8200000000000001,-94.51989611703631,-97.77828203906104,-97.29551921544459,0.8131739285192657,-94.19467741304379,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.8250000000000001,-94.67196055127623,-98.08229626213966,-97.3159848508399,0.8294534795298206,-94.19069909877506,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.8300000000000001,-94.7517204991589,-98.33039664063831,-97.25949460177547,0.8468886512042054,-94.20217317195159,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.835,-95.1568659798777,-98.60615842819524,-97.76850224084436,0.8335429595007229,-94.22808218671315,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.84,-94.91708768688895,-98.5273756663698,-97.40031740682696,0.8500955545243081,-94.26632779487792,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
