PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
3.6776500000000003e-06,3.235814393915044e-06,3.161748723401995e-06,2.1799166358897835,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.7026000000000003e-06,3.0502093992262937e-06,3.1321933701593143e-06,2.1868202417089595,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.72755e-06,3.241588649003687e-06,3.1052905949539066e-06,2.179414466568815,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.7525e-06,2.963286908577334e-06,3.0812121710661732e-06,2.1568524555319395,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.77745e-06,3.1952909742852216e-06,3.060111838391961e-06,2.2027665062953483,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.8024000000000002e-06,2.9949224063282664e-06,3.0421243218186964e-06,2.173385422611732,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.82735e-06,3.026970333528156e-06,3.0273644710116827e-06,2.1979756456555046,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.8523e-06,3.2413999397880764e-06,3.0159265271029945e-06,2.164137973683111,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.87725e-06,3.0608767840251334e-06,3.007883520965145e-06,2.1618006935627108,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.9022000000000005e-06,3.1457009548861537e-06,3.003286806911509e-06,2.199024602903587,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.92715e-06,3.0185293421896108e-06,3.0021657348008297e-06,2.1714409781536212,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.9521e-06,3.0438465324457784e-06,3.0045274626393926e-06,2.1971156282513546,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.97705e-06,3.0540570876252158e-06,3.0103569108774056e-06,2.1790418441827315,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.002e-06,3.0025965280939986e-06,3.019616858691399e-06,2.129079953706864,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.0269500000000005e-06,2.9837438652488846e-06,3.0322481816378837e-06,2.184788680356499,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.0519e-06,3.0753296621362887e-06,3.048170229160856e-06,2.199714376567893,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
